score_col,threshold,min_points,max_gap_minutes,weather_guard,tune_min_precision,tune_max_false_alarm,tune_min_point_f1_delta,tune_mean_point_f1_delta,tune_min_event_f1_delta,tune_mean_event_f1_delta,tune_mean_weak_episode_recall_delta,all_min_precision,all_max_false_alarm,all_min_point_f1_delta,all_mean_point_f1_delta,all_min_event_f1_delta,all_mean_event_f1_delta,all_mean_weak_episode_recall_delta,passes_tune_gates,passes_all_gates
weak_consensus_min,0.15,4,180,True,0.4020618556701031,0.051779048662717035,-0.14144829529444913,-0.08782656861917473,-0.31199999999999994,-0.2912201257861635,0.08333333333333333,0.4020618556701031,0.051779048662717035,-0.14144829529444913,-0.09411501881008956,-0.31199999999999994,-0.2644272072362252,0.0925925925925926,False,False
weak_consensus_min,0.15,4,180,False,0.4020618556701031,0.051779048662717035,-0.14144829529444913,-0.08782656861917473,-0.31199999999999994,-0.2912201257861635,0.08333333333333333,0.4020618556701031,0.051779048662717035,-0.14144829529444913,-0.09478385920804959,-0.31199999999999994,-0.2644272072362252,0.0925925925925926,False,False
weak_consensus_min,0.15,6,90,True,0.5837837837837838,0.026300469162015002,-0.06675567423230977,-0.030910498627565147,-0.14663072776280317,-0.08760107816711582,0.0,0.5837837837837838,0.03157214302725138,-0.06675567423230977,-0.03871946173975962,-0.14663072776280317,-0.10053186173899133,0.0,False,False
weak_consensus_min,0.15,6,90,False,0.5837837837837838,0.026300469162015002,-0.06675567423230977,-0.030910498627565147,-0.14663072776280317,-0.08760107816711582,0.0,0.5837837837837838,0.03211649032082468,-0.06675567423230977,-0.03935313390260683,-0.14663072776280317,-0.10179945506008582,0.0,False,False
weak_consensus_min,0.15,6,180,True,0.5775401069518716,0.02794424848464094,-0.06910299003322251,-0.02974070114346139,-0.15932914046121593,-0.11879500501321666,0.0,0.5775401069518716,0.03211649032082468,-0.06910299003322251,-0.038151361019612105,-0.15932914046121593,-0.12259540629081972,0.0,False,False
weak_consensus_min,0.15,6,180,False,0.5775401069518716,0.02794424848464094,-0.06910299003322251,-0.02974070114346139,-0.15932914046121593,-0.11879500501321666,0.0,0.5775401069518716,0.032660837614397975,-0.06910299003322251,-0.03878341666657318,-0.15932914046121593,-0.12384271811877667,0.0,False,False
weak_consensus_min,0.25,2,90,True,0.5384615384615384,0.026674227388715617,-0.03711484593837533,-0.03412858360948076,-0.21702127659574466,-0.17096081103239263,0.16666666666666666,0.5384615384615384,0.03429387949511788,-0.0537004662004662,-0.04065254447314257,-0.21702127659574466,-0.1622449221315607,0.1111111111111111,False,False
weak_consensus_min,0.25,2,90,False,0.5384615384615384,0.026674227388715617,-0.03711484593837533,-0.03412858360948076,-0.21702127659574466,-0.17096081103239263,0.16666666666666666,0.5384615384615384,0.03429387949511788,-0.05623840445269018,-0.041498523890550566,-0.21702127659574466,-0.1622449221315607,0.1111111111111111,False,False
weak_consensus_min,0.25,2,180,True,0.41397849462365593,0.04518287496455911,-0.05170699370235332,-0.04278361691682406,-0.30542635658914724,-0.24770341902326584,0.29166666666666663,0.41397849462365593,0.04518287496455911,-0.0574335928555072,-0.047666942229718436,-0.30542635658914724,-0.21846292599895545,0.23148148148148148,False,False
weak_consensus_min,0.25,2,180,False,0.41397849462365593,0.04518287496455911,-0.05291005291005291,-0.04338514652067385,-0.30542635658914724,-0.25005451620194924,0.29166666666666663,0.41397849462365593,0.04518287496455911,-0.05990829346092508,-0.04889286216742426,-0.30542635658914724,-0.22003032411807774,0.23148148148148148,False,False
weak_consensus_min,0.25,3,90,True,0.7142857142857143,0.018081572548885313,-0.01758241758241752,-0.014984687477259923,-0.10684931506849316,-0.08864478332041009,0.0,0.697841726618705,0.02667301738509168,-0.03311233159364002,-0.02102723551605329,-0.10684931506849316,-0.08881859371538518,0.0,False,False
weak_consensus_min,0.25,3,90,False,0.7142857142857143,0.018081572548885313,-0.01758241758241752,-0.014984687477259923,-0.10684931506849316,-0.08864478332041009,0.0,0.6903914590747331,0.02667301738509168,-0.03517891682785301,-0.02171609726079095,-0.10684931506849316,-0.08881859371538518,0.0,False,False
weak_consensus_min,0.25,3,180,True,0.6410256410256411,0.02054724153282422,-0.017272400143936606,-0.010382197708156127,-0.15555555555555556,-0.11403957023060801,0.08333333333333333,0.6410256410256411,0.027217364678664983,-0.033894984326018784,-0.018219793247443678,-0.15555555555555556,-0.10292530182692268,0.0925925925925926,False,False
weak_consensus_min,0.25,3,180,False,0.6410256410256411,0.02054724153282422,-0.017272400143936606,-0.010382197708156127,-0.15555555555555556,-0.11403957023060801,0.08333333333333333,0.6410256410256411,0.027217364678664983,-0.03594481806172689,-0.01890307115934638,-0.15555555555555556,-0.10292530182692268,0.0925925925925926,False,False
