ratio_threshold,recent_regularity,historical_q999_multiplier,tp,fp,fn,precision,recall,f1,false_gap_alerts_per_station_day
2.5,0.7,2.0,5,21,2,0.19230769230769232,0.7142857142857143,0.30303030303030304,0.008551649246640425
3.0,0.7,2.0,5,21,2,0.19230769230769232,0.7142857142857143,0.30303030303030304,0.008551649246640425
4.0,0.7,2.0,5,21,2,0.19230769230769232,0.7142857142857143,0.30303030303030304,0.008551649246640425
5.0,0.7,2.0,5,21,2,0.19230769230769232,0.7142857142857143,0.30303030303030304,0.008551649246640425
6.0,0.7,2.0,5,21,2,0.19230769230769232,0.7142857142857143,0.30303030303030304,0.008551649246640425
10.0,0.8,3.0,3,10,4,0.23076923076923078,0.42857142857142855,0.3,0.00407221392697163
12.0,0.8,3.0,3,10,4,0.23076923076923078,0.42857142857142855,0.3,0.00407221392697163
8.0,0.5,1.5,6,28,1,0.17647058823529413,0.8571428571428571,0.29268292682926833,0.011402198995520566
2.5,0.8,3.0,3,11,4,0.21428571428571427,0.42857142857142855,0.2857142857142857,0.0044794353196687935
3.0,0.8,3.0,3,11,4,0.21428571428571427,0.42857142857142855,0.2857142857142857,0.0044794353196687935
4.0,0.8,3.0,3,11,4,0.21428571428571427,0.42857142857142855,0.2857142857142857,0.0044794353196687935
5.0,0.8,3.0,3,11,4,0.21428571428571427,0.42857142857142855,0.2857142857142857,0.0044794353196687935
6.0,0.8,3.0,3,11,4,0.21428571428571427,0.42857142857142855,0.2857142857142857,0.0044794353196687935
8.0,0.8,3.0,3,11,4,0.21428571428571427,0.42857142857142855,0.2857142857142857,0.0044794353196687935
10.0,0.7,3.0,3,11,4,0.21428571428571427,0.42857142857142855,0.2857142857142857,0.0044794353196687935
12.0,0.7,3.0,3,11,4,0.21428571428571427,0.42857142857142855,0.2857142857142857,0.0044794353196687935
20.0,0.8,1.5,3,11,4,0.21428571428571427,0.42857142857142855,0.2857142857142857,0.0044794353196687935
2.5,0.5,2.0,5,23,2,0.17857142857142858,0.7142857142857143,0.2857142857142857,0.00936609203203475
3.0,0.5,2.0,5,23,2,0.17857142857142858,0.7142857142857143,0.2857142857142857,0.00936609203203475
4.0,0.5,2.0,5,23,2,0.17857142857142858,0.7142857142857143,0.2857142857142857,0.00936609203203475
5.0,0.5,2.0,5,23,2,0.17857142857142858,0.7142857142857143,0.2857142857142857,0.00936609203203475
6.0,0.5,2.0,5,23,2,0.17857142857142858,0.7142857142857143,0.2857142857142857,0.00936609203203475
2.5,0.7,3.0,3,12,4,0.2,0.42857142857142855,0.27272727272727276,0.004886656712365957
3.0,0.7,3.0,3,12,4,0.2,0.42857142857142855,0.27272727272727276,0.004886656712365957
4.0,0.7,3.0,3,12,4,0.2,0.42857142857142855,0.27272727272727276,0.004886656712365957
5.0,0.7,3.0,3,12,4,0.2,0.42857142857142855,0.27272727272727276,0.004886656712365957
6.0,0.7,3.0,3,12,4,0.2,0.42857142857142855,0.27272727272727276,0.004886656712365957
8.0,0.7,3.0,3,12,4,0.2,0.42857142857142855,0.27272727272727276,0.004886656712365957
10.0,0.5,3.0,3,12,4,0.2,0.42857142857142855,0.27272727272727276,0.004886656712365957
12.0,0.5,3.0,3,12,4,0.2,0.42857142857142855,0.27272727272727276,0.004886656712365957
20.0,0.8,1.0,3,12,4,0.2,0.42857142857142855,0.27272727272727276,0.004886656712365957
6.0,0.8,1.5,6,31,1,0.16216216216216217,0.8571428571428571,0.27272727272727276,0.012623863173612054
2.5,0.8,1.5,6,33,1,0.15384615384615385,0.8571428571428571,0.2608695652173913,0.01343830595900638
3.0,0.8,1.5,6,33,1,0.15384615384615385,0.8571428571428571,0.2608695652173913,0.01343830595900638
4.0,0.8,1.5,6,33,1,0.15384615384615385,0.8571428571428571,0.2608695652173913,0.01343830595900638
5.0,0.8,1.5,6,33,1,0.15384615384615385,0.8571428571428571,0.2608695652173913,0.01343830595900638
6.0,0.7,1.5,6,33,1,0.15384615384615385,0.8571428571428571,0.2608695652173913,0.01343830595900638
2.5,0.5,3.0,3,13,4,0.1875,0.42857142857142855,0.26086956521739124,0.00529387810506312
3.0,0.5,3.0,3,13,4,0.1875,0.42857142857142855,0.26086956521739124,0.00529387810506312
4.0,0.5,3.0,3,13,4,0.1875,0.42857142857142855,0.26086956521739124,0.00529387810506312
5.0,0.5,3.0,3,13,4,0.1875,0.42857142857142855,0.26086956521739124,0.00529387810506312
6.0,0.5,3.0,3,13,4,0.1875,0.42857142857142855,0.26086956521739124,0.00529387810506312
8.0,0.5,3.0,3,13,4,0.1875,0.42857142857142855,0.26086956521739124,0.00529387810506312
12.0,0.9,2.0,3,13,4,0.1875,0.42857142857142855,0.26086956521739124,0.00529387810506312
15.0,0.8,1.5,3,13,4,0.1875,0.42857142857142855,0.26086956521739124,0.00529387810506312
20.0,0.7,1.5,3,13,4,0.1875,0.42857142857142855,0.26086956521739124,0.00529387810506312
