station_id,station_name,state,latitude,longitude,elevation_m,wigos_id,wmo_id,icao,network_type,primary_provider,is_reference_only
55D00E32,SRINAGAR_ARG,UTTARAKHAND,30.22,78.77,1600.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55D01D44,GANGOLIHAT,UTTARAKHAND,29.65,80.04,1600.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55D043EA,MTI_PASHAN_PUNE,MAHARASHTRA,18.5383,73.8045,73.1,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55D06BD4,DHOLKA,GUJARAT,22.7359,72.4369,220.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55D07670,RANPUR,GUJARAT,22.3604,71.7151,220.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55D086F4,JAFRABAD,GUJARAT,20.86,71.3333,220.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55D0FEB6,MANSA_ARG,GUJARAT,23.42,72.65,220.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55D1AC30,DAMAN_ARG,DAMAN_AND_DIU,20.43,72.84,220.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55D20514,HARINAGAR,ASSAM,24.56,92.46,650.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55D20BC6,KHETRI,ASSAM,26.1158,92.0838,650.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55D23E5C,RAIKOT,PUNJAB,30.65,75.55,160.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55D2461E,JAGRAON,PUNJAB,30.75,75.49,160.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55D260F2,ADAMPUR_JLD,PUNJAB,31.44,75.71,160.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55D26E20,NAKODAR,PUNJAB,31.12,75.56,160.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55D27384,AJNALA_AMRITSAR,PUNJAB,31.8669,74.8669,160.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55D29076,DASUYA,PUNJAB,31.81,75.65,160.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55D2A5EC,AUR_PHAMBRA_ROAD,PUNJAB,31.06,75.99,160.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55D2C00A,KISHANKOT,PUNJAB,31.68,75.4,160.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55D2CED8,AMLOH,PUNJAB,30.6,76.23,160.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55D2D37C,ADAMPUR_FGH,PUNJAB,30.5844,76.4,160.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55D2DDAE,FATEHGARH_SAHIB_ARG,PUNJAB,30.6,76.51,160.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55D2E6E6,RAJPURA,PUNJAB,30.43,76.6,160.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55D2E834,NABHA,PUNJAB,30.39,76.19,160.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55D2F590,SAMANA,PUNJAB,30.15,76.2,160.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55D2FB42,BARNALA_ARG,PUNJAB,30.25,75.62,160.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55D3093C,DAYALPURA,PUNJAB,30.2458,75.8421,160.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55D31498,UMRANGSHU,ASSAM,25.51,92.73,650.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55D31A4A,TANGLA,ASSAM,26.6589,91.91,650.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
55D32102,CHOULDHUAGHAT,ASSAM,27.7333,94.4,650.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
